"","x"
"683","186278396"
"684","190808953"
"685","194574250"
"686","209834343"
"687","269949036"
"688","322346951"
"689","351066803"
"690","371492684"
"691","385009682"
"692","388415711"
"693","419024719"
"694","907218679"
"695","915913130"
"696","1210380811"
"697","1232540000"
"698","1480885795"
"699","1484204666"
"700","2160162410"
"701","2184730915"
"702","2235110709"
"703","2329558784"
"704","2351004444"
"705","3007280975"
"706","3154033818"
"707","3388032733"
"708","3995977755"
"709","4034222955"
"710","4324611734"
"711","4531537184"
"712","755990234526081024"
"713","760838029128900610"
"714","768132069100695552"
"715","9745112"
"716","14592232"
"717","15526683"
"718","16336354"
"719","18382055"
"720","19679588"
"721","20124224"
"722","22327863"
"723","23203447"
"724","23352100"
"725","25380899"
"726","26531016"
"727","30760378"
"728","35887106"
"729","36138505"
"730","42679096"
"731","50044888"
"732","50168746"
"733","54711237"
"734","57732005"
"735","64694600"
"736","68576155"
"737","68779154"
"738","75329633"
"739","76087318"
"740","88282390"
"741","92995575"
"742","93953545"
"743","100641822"
"744","113370144"
"745","129863599"
"746","129971993"
"747","133864135"
"748","164281690"
"749","271461320"
"750","274849636"
"751","277755893"
"752","290924159"
"753","293543181"
"754","314368163"
"755","316633543"
"756","359755389"
"757","400125421"
"758","413231975"
"759","520045897"
"760","523589961"
"761","526704125"
"762","615118034"
"763","619157050"
"764","846143395"
"765","847332498"
"766","872849984"
"767","1131903278"
"768","1148477293"
"769","1214919259"
"770","1311004520"
"771","1418301751"
"772","1486081914"
"773","1577684868"
"774","1723292875"
"775","1888916238"
"776","1916049499"
"777","1936757179"
"778","2348041289"
"779","2438934361"
"780","2446006639"
"781","2627487161"
"782","2649481757"
"783","2863762014"
"784","3077627152"
"785","3293542505"
"786","3426753659"
"787","3809899637"
"788","723745435739893760"
"789","789121649618587648"
"790","809640392689938432"
"791","853725962768396289"
"792","861403478106804226"
"793","16046220"
"794","16485411"
"795","16988595"
"796","17562073"
"797","18538247"
"798","21970442"
"799","23735472"
"800","29577058"
"801","31566497"
"802","35371874"
"803","42822503"
"804","44995224"
"805","45425213"
"806","45890011"
"807","54089005"
"808","55655141"
"809","60243870"
"810","64619379"
"811","64897205"
"812","79319564"
"813","126951025"
"814","153097831"
"815","184998365"
"816","205087181"
"817","206628688"
"818","228486831"
"819","233097492"
"820","261750666"
"821","284650229"
"822","304825340"
"823","310949879"
"824","332546261"
"825","349463158"
"826","404311647"
"827","444006362"
"828","473174321"
"829","529752053"
"830","590266004"
"831","603093976"
"832","714518382"
"833","731108426"
"834","947104639"
"835","1049251561"
"836","1271659207"
"837","1349278861"
"838","1491164923"
"839","1662952483"
"840","1697176273"
"841","2369359191"
"842","2370452504"
"843","2544250500"
"844","2731204529"
"845","2784110177"
"846","2964604959"
"847","3223127336"
"848","4108993283"
"849","1416491"
"850","15579785"
"851","16745759"
"852","16797497"
"853","20081287"
"854","20529586"
"855","25202388"
"856","28161602"
"857","29257016"
"858","30379580"
"859","30928610"
"860","30984346"
"861","31140913"
"862","35620284"
"863","37037081"
"864","37753692"
"865","38409012"
"866","43380637"
"867","61873635"
"868","82901665"
"869","87188071"
"870","99535876"
"871","111923875"
"872","123905051"
"873","126619338"
"874","192756249"
"875","201278489"
"876","233044246"
"877","233050939"
"878","236693048"
"879","240883428"
"880","248334252"
"881","249110188"
"882","281609762"
"883","311402886"
"884","315822463"
"885","342414950"
"886","347971205"
"887","366101830"
"888","380930182"
"889","409728948"
"890","411867816"
"891","434597446"
"892","466909255"
"893","554644046"
"894","562543557"
"895","565371593"
"896","838883766"
"897","1023169795"
"898","1134146718"
"899","1174069898"
"900","1179754159"
"901","1191069476"
"902","1289325001"
"903","1870000021"
"904","2162002356"
"905","2392792977"
"906","2640621131"
"907","2777473839"
"908","2999075038"
"909","3257162156"
"910","3972762074"
"911","4340557692"
"912","707205875082108928"
"913","833428596693819392"
"914","846703333486346240"
"915","8241062"
"916","14204606"
"917","16072592"
"918","16828170"
"919","18500081"
"920","19569358"
"921","19586718"
"922","19810236"
"923","19947291"
"924","23788858"
"925","24827708"
"926","26234646"
"927","29702708"
"928","30666289"
"929","34170831"
"930","40360183"
"931","43257086"
"932","44859513"
"933","46043119"
"934","48802065"
"935","50796323"
"936","68575561"
"937","70019283"
"938","79300956"
"939","91190097"
"940","98745893"
"941","99191011"
"942","111741885"
"943","121878955"
"944","123390260"
"945","130994584"
"946","133691877"
"947","168340580"
"948","214902882"
"949","219707764"
"950","238379671"
"951","265454023"
"952","266942365"
"953","272061794"
"954","274524061"
"955","331797479"
"956","366102676"
"957","381025247"
"958","462515537"
"959","500447566"
"960","509414572"
"961","566303369"
"962","581984326"
"963","760494572"
"964","780845184"
"965","862045386"
"966","1025531360"
"967","1068295874"
"968","1117522494"
"969","1131944035"
"970","1139124884"
"971","1495330638"
"972","1538339677"
"973","1855466108"
"974","2218472038"
"975","2276949385"
"976","2774128810"
"977","2784310176"
"978","2788662529"
"979","2909825451"
"980","2957622683"
"981","3082588110"
"982","3124772446"
"983","855852882481954816"
"984","7160402"
"985","14084098"
"986","15053876"
"987","15290803"
"988","15337284"
"989","15963497"
"990","15968831"
"991","17248169"
"992","18323626"
"993","18470840"
"994","18605875"
"995","21642785"
"996","21932597"
"997","22218401"
"998","23394258"
"999","23586178"
"1000","24083969"
"1001","24085584"
"1002","24547355"
"1003","25583743"
"1004","25839827"
"1005","26493881"
"1006","26594373"
"1007","27075440"
"1008","28725138"
"1009","29253539"
"1010","35062396"
"1011","35196855"
"1012","36494484"
"1013","38811964"
"1014","40624694"
"1015","40871203"
"1016","42000871"
"1017","45224089"
"1018","45230636"
"1019","49853576"
"1020","51726612"
"1021","57659482"
"1022","59380673"
"1023","61703728"
"1024","62156558"
"1025","62826316"
"1026","65174021"
"1027","67355080"
"1028","76766931"
"1029","92361572"
"1030","92362711"
"1031","92621572"
"1032","108995802"
"1033","135579689"
"1034","155942134"
"1035","156250403"
"1036","159546595"
"1037","171648864"
"1038","183125055"
"1039","200680540"
"1040","203930370"
"1041","217093656"
"1042","223712054"
"1043","231155806"
"1044","244158609"
"1045","262959137"
"1046","269134180"
"1047","275034931"
"1048","281145563"
"1049","290734731"
"1050","293577052"
"1051","302248071"
"1052","336658665"
"1053","343197788"
"1054","345962452"
"1055","350473947"
"1056","407968843"
"1057","516801659"
"1058","529940295"
"1059","580243379"
"1060","619415097"
"1061","702312354"
"1062","768398226"
"1063","885717908"
"1064","913710126"
"1065","1005179707"
"1066","1256052696"
"1067","1327546423"
"1068","1495626662"
"1069","1648150434"
"1070","1849992744"
"1071","2736271587"
"1072","2875378080"
"1073","2894115296"
"1074","2908365118"
"1075","3048279040"
"1076","3171071597"
"1077","712079277760647169"
"1078","720107822495739904"
"1079","730020249551020032"
"1080","778560082502049793"
"1081","807784628589383680"
"1082","886723350403403776"
"1083","892892652022247425"
"1084","895164222140809216"
"1085","14707086"
"1086","19401189"
"1087","19680574"
"1088","21175271"
"1089","22365361"
"1090","23617627"
"1091","32204338"
"1092","32585996"
"1093","33329311"
"1094","35245856"
"1095","36381526"
"1096","38044683"
"1097","40135220"
